Ticket_ID,Call_Date,Call_Time,Resolution_Date,Agent_Name,Department,Issue_Type,Priority,Status,Channel,Region,Handle_Time_Minutes,Wait_Time_Seconds,First_Call_Resolution,SLA_Met,Satisfaction_Score,OS_Type,Shift,Escalated,Reopen_Count,Cost_Per_Ticket_USD,Agent_Experience_Yrs
TKT-0108,2024/09/11,09:16 AM,09-13-2024,Irene  Taylor,Finance,Printer Issue,medium,Escalated,Walk In,South,105.0,1600,NO,Yes,-1.0,MacOS,Night Shift,yes,1.0,64.88,-2.0
TKT-0425,21-Jul-2024,10:09:35 PM,,Henry Moore,Sales,System Crash,High,Resolve,Walk In,West,,1847,No,Yes,5.0,Windows 10,Morning,Yes,,12.83,10.0
TKT-0585,21-Oct-2024,21:52,2024/10/23,,IT,Network Issue,High,closed,chat,South,,3524,yes,Yes,4.0,macOS,Morning,Yes,1.0,,5.0
TKT-0854,12/02/2024,00:26:23,02-14-2024,frank miller,,Account Locked,medium,Closed,EMAIL,,63.0,3300,yes,,2.0,Linux,Night Shift,,-1.0,7.33,4.0
TKT-0665,2024-12-29,15:08:25,12-29-2024,frank miller,Legal,Email Problem,Mediun,In Progress,phone,South,6.0,3039,YES,yes,,Windows 10 ,Afternoon,yes,-1.0,85.18,10.0
,05-Apr-2024,22:51,,Emily Davis,HR,Hardware failure,High,OPEN,Phone,East,175.0,2106,,N,1.0,Windows 10 ,AFTERNOON,Yes,3.0,192.77,5.0
TKT-0421,2024/06/09,20:58,11-Jun-2024,Grace Wilson,Admin,Email Problem,medium,Resolve,self-service portal,Central,73.0,2283,yes,,,Linux,Night Shift,yes,0.0,156.6,-2.0
TKT-0598,2024-06-05,04:53:53 AM,05/06/2024,Grace Wilson ,Sales,vpn access,CRITICAL,Resolve,Walk In,,12.0,3264,no,No,-1.0,MacOS,Afternoon,No,0.0,144.4,7.0
TKT-0459,2024-10-02,02:02 PM,,frank miller,Admin,network issue,CRITICAL,closed,self-service portal,South,6.0,1678,YES,N,2.0,Linux,Night,no,0.0,191.93,-2.0
,19/09/2024,06:49 AM,20-Sep-2024,Irene  Taylor,,Network Issue,Low,In progress,Email,East,19.0,1148,no,No,5.0,Windows 11,Afternoon,Yes,-1.0,24.07,
TKT-0650,26-Feb-2024,04:34:49,02-26-2024,Emily Davis,Legal,System Crash,Mediun,resolved,self-service portal,,116.0,2028,yes,,2.0,MacOS,AFTERNOON,yes,2.0,95.2,3.0
TKT-0366,2024/10/04,12:30,10-06-2024,EMILY DAVIS,Admin,Email Problem,CRITICAL,In progress,Walk-in,,5.0,1414,yes,,,linux,Night Shift,no,0.0,119.06,10.0
TKT-0322,09-15-2024,14:25:03,15-Sep-2024,,Marketing,Data Recovery,Mediun,Resolve,chat,,78.0,1667,no,No,4.0,Windows 11,morning,yes,,160.97,8.0
TKT-0630,2024/02/12,04:46:58,12/02/2024,frank miller,Sales,VPN Access,low,closed,Phone,East,151.0,1122,yes,N,99.0,Linux,Night Shift,yes,3.0,12.23,2.0
TKT-0915,07-29-2024,03:30:16,29-Jul-2024,Irene  Taylor,Finance,Data Recovery,CRITICAL,OPEN,Email,South,51.0,1722,yes,yes,,macOS,Morning,No,0.0,110.5,4.0
TKT-0469,2024/04/15,12:22:12,04-16-2024,Irene Taylor,Sales,Password Reset,low,In progress,Chat,,127.0,2012,yes,no,1.0,Windows 10,Morning,No,-1.0,173.45,99.0
TKT-0599,15/03/2024,05:04:12 AM,2024/03/15,James Anderson,Sales,VPN Access,Mediun,Closed,Walk In,Central,6.0,1261,NO,Yes,1.0,Linux,Morning,,0.0,105.17,4.0
TKT-0395,15-May-2024,22:31,05-16-2024,alice johnson,,Password Reset,Medium,Escalated,self-service portal,East,114.0,1490,,No,3.0,Windows 10 ,AFTERNOON,no,0.0,25.21,0.0
TKT-0537,2024/08/05,02:09 AM,2024-08-05,Henry Moore,,vpn access,medium,Escalated,EMAIL,,,229,No,Y,5.0,windows 10,Night Shift,No,3.0,75.6,-2.0
TKT-0721,02-Oct-2024,06:06:04 AM,03/10/2024,,Operations,System Crash,medium,Resolved,Walk-in,,18.0,1273,no,Yes,2.0,WINDOWS 11,AFTERNOON,yes,2.0,104.91,5.0
TKT-0334,05-21-2024,19:35,,Irene Taylor,Marketing,vpn access,Low,Escalated,Chat,Central,114.0,746,yes,,5.0,macOS,AFTERNOON,Yes,1.0,20.11,8.0
TKT-0410,28/07/2024,11:41,2024/07/29,EMILY DAVIS,IT,Account Locked,Mediun,OPEN,Phone,,-5.0,588,no,Yes,0.0,Linux,Afternoon,no,1.0,66.72,4.0
TKT-0060,27-Jul-2024,08:59 PM,07-29-2024,alice johnson,HR,Account Locked,High,Open,self-service portal,North,124.0,2674,No,,,Linux,AFTERNOON,yes,0.0,70.33,8.0
TKT-0257,09-14-2024,06:45 PM,2024-09-15,Henry Moore,,network issue,Critical,closed,Email,West,7.0,2534,,Yes,5.0,Windows 10,Afternoon,yes,0.0,147.91,6.0
,23/05/2024,02:30 AM,2024/05/23,frank miller,HR,Network Issue,low,Closed,phone,,159.0,2757,Yes,Y,4.0,linux,Morning,yes,0.0,116.66,
TKT-0686,2024/06/01,05:47:50,06-01-2024,Bob Smith,Legal,VPN Access,Critical,resolved,Walk-in,Central,77.0,56,yes,Y,3.0,Windows 10,AFTERNOON,No,0.0,,
TKT-0343,05-Sep-2024,03:50:40 PM,2024-09-07,David Brown,Sales,System Crash,Medium,Closed,EMAIL,East,155.0,1472,YES,no,5.0,MacOS,Night,,1.0,157.65,1.0
TKT-0636,2024-01-07,02:23 AM,2024/01/08,EMILY DAVIS,Finance,password reset,low,closed,self-service portal,,63.0,1147,no,,1.0,Windows 10 ,Night,,0.0,132.26,9.0
TKT-0709,2024/07/17,06:56:43 AM,07-19-2024,Emily Davis,Admin,Printer Issue,low,Open,Phone,,63.0,25,,Y,,linux,Morning,,,151.56,6.0
TKT-0011,14-Oct-2024,12:07 AM,14/10/2024,henry moore,IT,Email Problem,low,In Progress,Phone,South,141.0,157,,yes,-1.0,Windows 10 ,Night,no,0.0,185.28,-2.0
TKT-0486,20/04/2024,07:38:32 PM,20-Apr-2024,alice johnson,Legal,network issue,Medium,Open,Self-Service Portal,,20.0,993,no,,,Windows 10,Night Shift,Yes,0.0,30.11,-2.0
TKT-0210,2024/04/30,13:13:09,2024-04-30,Irene Taylor,Operations,Software Installation,CRITICAL,escalated,phone,East,46.0,886,yes,no,,Windows 11,Night,,,191.9,6.0
TKT-0140,2024-03-09,20:33,2024/03/10,Bob Smith,Operations,Hardware failure,Medium,In Progress,Phone,Central,126.0,1238,yes,Y,10.0,Linux,Night,,0.0,60.5,6.0
TKT-0389,03/11/2024,04:36,,henry moore,Legal,System Crash,Hign,In Progress,phone,East,136.0,202,,Y,,macOS,Morning,no,,96.26,3.0
TKT-0623,23-Jan-2024,01:31 PM,2024-01-24,Alice Johnson,Admin,VPN Access,Low,escalated,Walk In,East,179.0,3107,,N,-1.0,Windows 10 ,AFTERNOON,No,0.0,87.84,9.0
TKT-0825,2024-12-12,02:58 AM,2024-12-14,David Brown,Sales,Hardware failure,CRITICAL,resolved,self-service portal,West,98.0,1362,yes,,,macOS,Afternoon,No,2.0,123.31,99.0
TKT-0718,11-17-2024,12:10:25,2024/11/19,EMILY DAVIS,Finance,network issue,Critical,escalated,Phone,South,55.0,2080,yes,Y,0.0,macOS,Morning,,,157.91,2.0
TKT-0846,12-26-2024,04:38 PM,26/12/2024,henry moore,Marketing,Printer Issue,HIGH,Open,Walk-in,West,127.0,246,no,No,3.0,Linux,Night,,,164.94,2.0
TKT-0688,11/09/2024,15:31,09-11-2024,david brown ,Sales,Hardware Failure,Mediun,Resolve,Chat,East,20.0,2042,yes,Yes,4.0,Windows 10,Afternoon,no,2.0,5.02,5.0
TKT-0936,26/12/2024,11:30,27-Dec-2024,EMILY DAVIS,HR,vpn access,High,Resolved,Self-Service Portal,East,110.0,720,No,N,3.0,windows 10,Afternoon,No,2.0,,0.0
TKT-0582,07/06/2024,17:42:48,09-Jun-2024,Irene  Taylor,Sales,Email problem,HIGH,Open,EMAIL,Central,129.0,1652,yes,,99.0,Linux,morning,no,0.0,91.07,2.0
TKT-0383,2024/04/16,12:03,2024/04/18,Irene  Taylor,Finance,Network Issue,Medium,In Progress,Walk In,West,104.0,823,No,,,linux,Morning,Yes,0.0,86.9,99.0
,2024/02/10,11:25:29,2024/02/13,,Admin,Hardware Failure,low,OPEN,EMAIL,East,64.0,2865,No,yes,2.0,linux,morning,Yes,0.0,59.67,9.0
TKT-0261,06/05/2024,07:30:02 AM,05-07-2024,,,Email problem,Low,Closed,Walk-in,Central,163.0,2904,NO,Yes,3.0,macOS,Morning,no,2.0,151.73,0.0
TKT-0801,02-28-2024,02:44:37 PM,01-Mar-2024,alice johnson,Marketing,Email problem,Hign,closed,Walk In,Central,168.0,228,,,99.0,Windows 10 ,AFTERNOON,Yes,0.0,178.82,1.0
TKT-0454,2024-07-08,03:19 AM,2024-07-10,david brown ,Admin,System Crash,HIGH,Escalated,self-service portal,South,-5.0,1633,,No,,macOS,Night,Yes,0.0,169.5,
TKT-0592,12-18-2024,10:24:25 AM,2024/12/20,,HR,vpn access,Critical,Resolve,Walk-in,,74.0,2928,,,3.0,MacOS,AFTERNOON,Yes,-1.0,173.28,8.0
TKT-0907,2024-12-12,06:38,12-12-2024,alice johnson,,password reset,Hign,Resolve,EMAIL,Central,29.0,366,Yes,yes,3.0,macOS,morning,Yes,-1.0,111.0,2.0
TKT-0785,2024/11/01,22:21:55,03-Nov-2024,alice johnson,Operations,Software Installation,medium,Resolved,self-service portal,,,1468,Yes,,5.0,macOS,AFTERNOON,no,0.0,120.11,5.0
,05-16-2024,09:47:31 AM,18-May-2024,Grace Wilson,Legal,Account Locked,Critical,OPEN,Chat,,35.0,1776,,No,-1.0,WINDOWS 11,Afternoon,,2.0,,9.0
TKT-0097,06/04/2024,15:34:19,04-06-2024,JAMES ANDERSON,Finance,System Crash,High,escalated,chat,East,127.0,165,Yes,Yes,4.0,Windows 10,Night,no,0.0,67.91,3.0
TKT-0680,10-03-2024,00:27,10-03-2024,frank miller,Legal,Hardware failure,low,In Progress,Phone,,155.0,1586,,Yes,3.0,linux,Morning,No,2.0,106.77,99.0
TKT-0850,2024-02-08,08:42:33 AM,09-Feb-2024,,Legal,Network Issue,Low,In progress,Chat,North,52.0,1005,yes,yes,,linux,Afternoon,,1.0,78.56,0.0
TKT-0885,2024-04-07,11:04:15 PM,04-09-2024,Bob Smith,Admin,System Crash,Medium,Open,Walk In,North,62.0,1902,Yes,yes,,Windows 10,Night Shift,,0.0,163.84,-2.0
TKT-0881,2024-03-23,01:06 PM,24-Mar-2024,David Brown,Legal,Email Problem,HIGH,Resolve,Phone,,142.0,1978,NO,No,1.0,macOS,Night,no,1.0,98.27,5.0
TKT-0193,20-Dec-2024,09:50 PM,12-20-2024,Emily Davis,IT,Email problem,HIGH,resolved,Chat,North,62.0,488,Yes,yes,10.0,Linux,AFTERNOON,,3.0,62.63,5.0
TKT-0281,02/09/2024,09:18 AM,02-Sep-2024,Frank Miller,HR,System Crash,HIGH,Open,Self-Service Portal,East,111.0,1024,YES,No,0.0,Linux,Night Shift,No,0.0,125.21,2.0
TKT-0534,11/07/2024,09:55 PM,2024/07/13,Bob Smith,HR,password reset,low,Closed,Chat,West,159.0,1791,no,,,Windows 10,Night,No,1.0,77.06,-2.0
TKT-0683,2024/04/28,01:02:24 PM,30-Apr-2024,david brown ,IT,Account Locked,Mediun,Open,Chat,North,120.0,2485,,Y,0.0,windows 10,AFTERNOON,no,,193.47,10.0
TKT-0618,2024-11-12,21:58,12-Nov-2024,BOB SMITH,HR,password reset,Low,escalated,EMAIL,,28.0,1833,no,Y,1.0,WINDOWS 11,AFTERNOON,Yes,0.0,158.52,2.0
TKT-0983,2024-01-29,10:49:09,29/01/2024,,Sales,Hardware Failure,Critical,Open,Walk In,East,162.0,1484,NO,No,,Windows 10 ,Night,No,0.0,59.05,0.0
TKT-0911,10-18-2024,00:41,10-20-2024,Irene  Taylor,Admin,Account Locked,HIGH,resolved,chat,East,62.0,2043,YES,yes,,Windows 10 ,Night,,0.0,11.04,-2.0
TKT-0185,2024-12-20,01:38 AM,22/12/2024,BOB SMITH,Admin,network issue,High,escalated,Walk-in,West,158.0,370,NO,,5.0,Linux,Morning,No,0.0,13.41,
TKT-0031,2024/05/26,07:38,05-27-2024,Emily Davis,Admin,Network Issue,High,Closed,chat,East,58.0,2617,No,Y,5.0,Windows 10,AFTERNOON,yes,0.0,19.68,-2.0
TKT-0329,2024/09/03,01:24:49,2024-09-05,henry moore,Operations,Email Problem,Medium,In progress,Email,North,180.0,522,no,N,,windows 10,Night,Yes,0.0,40.22,1.0
TKT-0507,2024-09-09,22:21:32,,Irene  Taylor,Sales,network issue,medium,resolved,self-service portal,East,173.0,1155,,N,,Windows 10 ,Afternoon,No,1.0,,4.0
,02-16-2024,12:32,,,,vpn access,Mediun,Resolve,chat,West,57.0,2399,yes,Yes,1.0,Windows 10 ,AFTERNOON,,2.0,126.53,10.0
TKT-0024,04-11-2024,13:07,,Carol White,Operations,Software Installation,Low,Closed,self-service portal,,167.0,620,yes,,3.0,Windows 10 ,morning,,0.0,136.09,5.0
TKT-0102,2024/05/17,06:03 PM,17-May-2024,david brown ,IT,System Crash,Hign,Resolved,EMAIL,South,23.0,2746,yes,,10.0,linux,morning,No,1.0,87.56,
TKT-0550,2024-11-08,05:54,11-08-2024,,Sales,Software Installation,medium,Escalated,chat,South,-5.0,362,yes,No,,Windows 10,AFTERNOON,No,-1.0,113.29,4.0
TKT-0248,2024-03-01,02:23:02 AM,03/03/2024,Irene Taylor,Legal,Account Locked,HIGH,Escalated,self-service portal,South,53.0,1377,No,N,,macOS,Night Shift,No,1.0,105.59,-2.0
TKT-0004,2024-12-14,13:38,2024/12/16,henry moore,Operations,Password Reset,Medium,Resolve,Walk In,South,,2450,no,Y,5.0,Windows 10 ,Night Shift,yes,0.0,156.83,9.0
TKT-0087,02-May-2024,15:24,2024/05/03,Alice Johnson,Legal,SOFTWARE INSTALLATION,medium,In Progress,EMAIL,West,-5.0,2623,,Yes,0.0,WINDOWS 11,Night,no,0.0,109.84,3.0
TKT-0844,2024-11-20,22:06:16,,James Anderson,Marketing,Network Issue,Hign,resolved,phone,Central,173.0,2426,no,,4.0,windows 10,Morning,Yes,0.0,90.47,1.0
TKT-0953,2024-02-20,20:54:46,02-22-2024,henry moore,HR,SOFTWARE INSTALLATION,High,closed,phone,South,55.0,1609,,Y,10.0,MacOS,Morning,yes,2.0,41.82,0.0
TKT-0291,2024-11-21,10:08,22/11/2024,henry moore,Finance,vpn access,Hign,escalated,Walk-in,North,100.0,99999,YES,no,0.0,WINDOWS 11,Morning,yes,3.0,174.02,99.0
TKT-0211,16-Dec-2024,03:34,2024-12-17,James Anderson,IT,Hardware Failure,Critical,Closed,Walk-in,,115.0,1601,,no,5.0,macOS,morning,yes,0.0,122.41,99.0
TKT-0803,2024/12/23,01:07:48,2024-12-24,david brown ,Sales,vpn access,medium,Escalated,Chat,,166.0,3382,Yes,no,2.0,Windows 11,morning,,0.0,136.15,10.0
TKT-0175,2024/05/23,14:33,2024/05/25,henry moore,Sales,Account Locked,Mediun,Resolved,phone,North,158.0,372,No,no,10.0,linux,Morning,no,0.0,132.98,5.0
TKT-0200,03/02/2024,09:42 AM,03/02/2024,Frank Miller,,SOFTWARE INSTALLATION,High,Open,Chat,North,33.0,2474,No,Y,10.0,Windows 10 ,AFTERNOON,Yes,1.0,171.0,8.0
TKT-0903,23/12/2024,01:48 PM,2024-12-24,JAMES ANDERSON,Operations,password reset,medium,resolved,Email,West,163.0,1630,yes,Yes,,Windows 10,Morning,Yes,-1.0,51.92,1.0
TKT-0808,12-23-2024,07:19 PM,12-25-2024,david brown ,Finance,Hardware Failure,medium,OPEN,Self-Service Portal,,91.0,2883,Yes,Yes,10.0,Windows 10,AFTERNOON,,0.0,165.81,7.0
TKT-0064,10-Dec-2024,09:46,12-Dec-2024,Irene  Taylor,Admin,Hardware Failure,High,OPEN,phone,West,67.0,3354,,N,,Windows 11,AFTERNOON,no,0.0,134.05,9.0
TKT-0266,24-Dec-2024,02:06:27 AM,24/12/2024,Henry Moore,Sales,Data Recovery,CRITICAL,Resolve,Email,North,43.0,1347,no,,5.0,macOS,AFTERNOON,yes,0.0,71.35,10.0
TKT-0232,07/10/2024,11:04:55 AM,2024-10-07,EMILY DAVIS,Admin,password reset,low,In progress,self-service portal,,108.0,1980,YES,yes,-1.0,macOS,Afternoon,yes,0.0,142.91,10.0
TKT-0804,01/07/2024,23:18,2024-07-03,Henry Moore,Sales,Network Issue,Low,In progress,Self-Service Portal,West,87.0,2072,No,yes,,Linux,AFTERNOON,no,0.0,25.73,0.0
TKT-0626,22/03/2024,08:23 AM,2024-03-23,frank miller,Admin,Account Locked,Medium,Resolve,Chat,East,143.0,2644,Yes,Yes,-1.0,macOS,Night,No,0.0,56.68,0.0
TKT-0569,2024/10/31,04:24 PM,10-31-2024,Frank Miller,Legal,password reset,HIGH,resolved,Phone,West,112.0,864,yes,No,2.0,linux,Night Shift,yes,-1.0,171.42,4.0
TKT-0855,22/06/2024,19:29,24-Jun-2024,Grace Wilson,Legal,Software Installation,medium,OPEN,Walk In,Central,128.0,343,,,1.0,MacOS,Morning,yes,0.0,93.44,99.0
TKT-0040,2024/07/26,10:40 PM,07-27-2024,JAMES ANDERSON,Marketing,Email problem,medium,Open,EMAIL,,31.0,1669,Yes,yes,,Windows 11,Afternoon,No,1.0,54.91,3.0
TKT-0807,2024/06/05,04:41,2024-06-05,Henry Moore,IT,Software Installation,low,Resolve,Walk-in,,71.0,395,NO,Y,0.0,macOS,Night Shift,yes,1.0,152.02,1.0
TKT-0169,14/11/2024,05:32:06 PM,11-15-2024,Emily Davis,Marketing,Account Locked,Mediun,Escalated,Chat,South,140.0,1444,YES,yes,5.0,Windows 11,Night,,0.0,152.37,8.0
TKT-0591,30/01/2024,02:52:56 PM,02-01-2024,frank miller,,vpn access,medium,Closed,EMAIL,North,68.0,2715,,no,2.0,Windows 11,AFTERNOON,No,0.0,12.82,10.0
,2024/03/11,16:38,03-11-2024,alice johnson,Finance,Network Issue,Low,closed,Walk-in,West,94.0,474,Yes,,,Windows 11,Afternoon,Yes,2.0,86.93,
TKT-0999,03-Jan-2024,05:46 PM,2024/01/05,Irene Taylor,Finance,password reset,High,Escalated,chat,South,158.0,1641,,No,-1.0,windows 10,Night,no,,149.36,1.0
TKT-0443,08/08/2024,07:14 AM,09/08/2024,Alice Johnson,IT,password reset,Critical,In Progress,EMAIL,South,143.0,1458,,No,,Linux,AFTERNOON,yes,0.0,,
TKT-0909,2024/02/14,12:00 PM,,David Brown,Admin,SOFTWARE INSTALLATION,Low,In Progress,Email,East,,2183,YES,no,1.0,Linux,Afternoon,no,0.0,150.8,0.0
TKT-0067,07-11-2024,05:48:34 AM,2024/07/13,EMILY DAVIS,HR,Software Installation,Hign,OPEN,EMAIL,North,63.0,3488,No,yes,3.0,linux,AFTERNOON,No,1.0,174.55,6.0
TKT-0308,11-19-2024,02:28 AM,11-19-2024,JAMES ANDERSON,Operations,SOFTWARE INSTALLATION,low,Resolved,Email,Central,132.0,99999,YES,no,5.0,macOS,Night,Yes,,46.37,4.0
TKT-0068,06-04-2024,12:13 AM,05-Jun-2024,JAMES ANDERSON,HR,Printer Issue,low,Escalated,Walk In,Central,32.0,3069,,no,4.0,windows 10,Night,No,0.0,,9.0
TKT-0199,2024-03-08,12:30:22 AM,2024-03-09,JAMES ANDERSON,Operations,password reset,Low,Closed,Phone,North,178.0,1495,No,,99.0,Windows 11,Afternoon,Yes,0.0,182.16,1.0
TKT-0529,2024/10/23,07:52:40,2024/10/25,Grace Wilson ,Finance,System Crash,HIGH,escalated,EMAIL,North,72.0,2232,YES,No,1.0,linux,Night Shift,yes,0.0,166.79,10.0
TKT-0482,05/04/2024,12:50 PM,04-06-2024,Grace Wilson,Marketing,Password Reset,Medium,In progress,EMAIL,,-5.0,2236,NO,No,5.0,Windows 10 ,morning,No,-1.0,140.95,
TKT-0758,2024-11-27,04:23 PM,28-Nov-2024,JAMES ANDERSON,Marketing,Account Locked,Critical,Resolved,Phone,Central,129.0,353,Yes,yes,3.0,Windows 10,Night Shift,,,45.69,8.0
TKT-0988,2024/02/05,07:50:39 PM,2024/02/07,Henry Moore,Marketing,System Crash,Critical,Closed,self-service portal,Central,26.0,3330,Yes,N,,MacOS,Afternoon,no,0.0,107.08,2.0
TKT-0363,17/12/2024,11:16 AM,18-Dec-2024,henry moore,Sales,Data Recovery,Low,Closed,phone,East,174.0,1223,,,,WINDOWS 11,Morning,no,1.0,181.2,0.0
TKT-0845,15-Jul-2024,02:36:50 PM,07-16-2024,JAMES ANDERSON,Operations,VPN Access,Hign,resolved,phone,West,149.0,146,no,Y,,Windows 11,morning,no,1.0,136.39,6.0
TKT-0559,25-Nov-2024,13:53,2024/11/25,,,network issue,Hign,Closed,Walk-in,Central,-5.0,1010,Yes,N,0.0,Windows 10,Afternoon,no,3.0,172.84,2.0
TKT-0619,06-Jan-2024,07:54 AM,01-06-2024,BOB SMITH,,Network Issue,Critical,OPEN,Phone,West,148.0,1952,yes,,,Windows 10,Night Shift,No,,32.27,8.0
TKT-0353,07-06-2024,02:49:42 PM,07-07-2024,,Sales,SOFTWARE INSTALLATION,Low,Resolved,Walk-in,,110.0,885,YES,Y,10.0,MacOS,Night,Yes,0.0,185.88,10.0
,02-26-2024,04:52:43,26/02/2024,david brown ,Sales,vpn access,Low,closed,Walk-in,West,109.0,3147,No,,99.0,windows 10,Night Shift,no,0.0,72.25,8.0
TKT-0930,13/11/2024,04:33:41 PM,2024-11-15,alice johnson,Marketing,Account Locked,HIGH,resolved,Walk In,Central,,2229,YES,no,99.0,Windows 10 ,morning,no,0.0,69.91,2.0
TKT-0293,02/06/2024,03:26:46 PM,06-03-2024,James Anderson,Finance,Network Issue,Low,Resolved,Phone,Central,115.0,3210,NO,N,1.0,macOS,AFTERNOON,no,0.0,83.08,1.0
TKT-0753,04-23-2024,02:20:40,2024/04/25,Irene Taylor,IT,Password Reset,Low,closed,EMAIL,North,37.0,2161,no,No,1.0,WINDOWS 11,Afternoon,yes,1.0,180.47,7.0
TKT-0101,28/01/2024,11:00,01-28-2024,,IT,Printer Issue,Medium,Resolved,Walk-in,West,77.0,3384,NO,N,-1.0,macOS,Night Shift,Yes,2.0,56.36,99.0
TKT-0585,21-Oct-2024,21:52,2024/10/23,,IT,Network Issue,High,closed,chat,South,,3524,yes,Yes,4.0,macOS,Morning,Yes,1.0,,5.0
,02-16-2024,12:32,,,,vpn access,Mediun,Resolve,chat,West,57.0,2399,yes,Yes,1.0,Windows 10 ,AFTERNOON,,2.0,126.53,10.0
TKT-0809,2024/02/08,21:57,2024/02/08,alice johnson,Legal,Data Recovery,Low,closed,self-service portal,North,8.0,2643,No,yes,,macOS,Morning,,2.0,,2.0
TKT-0306,2024-03-23,05:19 AM,,David Brown,IT,password reset,medium,In progress,self-service portal,South,170.0,2333,,,1.0,linux,Morning,Yes,0.0,98.91,2.0
TKT-0629,09/05/2024,10:55,10-May-2024,Irene  Taylor,HR,VPN Access,Hign,Open,chat,South,106.0,3255,Yes,no,,Windows 10,morning,yes,0.0,119.6,-2.0
TKT-0159,28/04/2024,07:43:01,29-Apr-2024,Grace Wilson ,Admin,vpn access,medium,In Progress,EMAIL,,22.0,2828,,no,,MacOS,morning,yes,-1.0,88.37,-2.0
TKT-0552,03/05/2024,10:55:58 AM,05-03-2024,henry moore,Legal,network issue,High,OPEN,chat,South,109.0,2180,Yes,no,5.0,Linux,AFTERNOON,,0.0,15.35,99.0
TKT-0003,2024/12/18,05:14:43 PM,19/12/2024,Carol  White,,Data Recovery,Medium,Escalated,self-service portal,West,16.0,948,,Yes,,windows 10,Afternoon,Yes,0.0,34.8,3.0
TKT-0729,22-Dec-2024,02:23:43 AM,2024/12/24,BOB SMITH,Operations,Hardware Failure,Medium,Closed,self-service portal,North,-5.0,2386,,,3.0,MacOS,AFTERNOON,,3.0,16.66,0.0
TKT-0209,2024/05/22,21:35,2024-05-22,alice johnson,Operations,Account Locked,Medium,OPEN,phone,Central,126.0,3214,Yes,Yes,2.0,Windows 11,morning,Yes,3.0,118.94,7.0
TKT-0300,2024-06-24,09:10 AM,25/06/2024,david brown ,Admin,SOFTWARE INSTALLATION,Mediun,OPEN,Phone,East,109.0,1982,no,Y,3.0,linux,AFTERNOON,Yes,,145.85,8.0
TKT-0851,05/11/2024,11:00:30 AM,11-07-2024,david brown ,Legal,VPN Access,Medium,In progress,Chat,East,,1987,NO,,2.0,Windows 10,Night,,,26.29,10.0
TKT-0437,2024-12-03,17:23,04/12/2024,Irene  Taylor,Marketing,network issue,Medium,escalated,Phone,South,,283,,N,3.0,Linux,Afternoon,no,1.0,97.58,8.0
